
2026-01-29T18:31:05.803381576+05:30 | enp2s0 | interval_sent=4895 | interval_received=11230
2026-01-29T18:31:05.803491224+05:30 | lo | interval_sent=717 | interval_received=717
2026-01-29T18:31:05.803560504+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:31:05.803615677+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:31:10.804571756+05:30 | enp2s0 | interval_sent=0 | interval_received=0
2026-01-29T18:31:10.804688108+05:30 | lo | interval_sent=0 | interval_received=0
2026-01-29T18:31:10.805143741+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:31:10.805217142+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:31:15.806152367+05:30 | enp2s0 | interval_sent=102 | interval_received=3132
2026-01-29T18:31:15.806264390+05:30 | lo | interval_sent=0 | interval_received=0
2026-01-29T18:31:15.806326896+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:31:15.806381790+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:31:20.807342591+05:30 | enp2s0 | interval_sent=0 | interval_received=0
2026-01-29T18:31:20.807454473+05:30 | lo | interval_sent=0 | interval_received=0
2026-01-29T18:31:20.807845644+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:31:20.807918417+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:31:25.808863715+05:30 | enp2s0 | interval_sent=0 | interval_received=0
2026-01-29T18:31:25.808976157+05:30 | lo | interval_sent=0 | interval_received=0
2026-01-29T18:31:25.809039990+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:31:25.809095512+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:31:30.810055325+05:30 | enp2s0 | interval_sent=0 | interval_received=0
2026-01-29T18:31:30.810194865+05:30 | lo | interval_sent=0 | interval_received=0
2026-01-29T18:31:30.810592810+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:31:30.810661811+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:31:35.811730132+05:30 | enp2s0 | interval_sent=0 | interval_received=1515
2026-01-29T18:31:35.811843900+05:30 | lo | interval_sent=0 | interval_received=0
2026-01-29T18:31:35.811902286+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:31:35.811960323+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:31:40.812902686+05:30 | enp2s0 | interval_sent=0 | interval_received=0
2026-01-29T18:31:40.813006537+05:30 | lo | interval_sent=0 | interval_received=0
2026-01-29T18:31:40.813040060+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:31:40.813070510+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:31:45.813986004+05:30 | enp2s0 | interval_sent=10044 | interval_received=994
2026-01-29T18:31:45.814085596+05:30 | lo | interval_sent=0 | interval_received=0
2026-01-29T18:31:45.814171778+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:31:45.814221364+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:31:50.815138747+05:30 | enp2s0 | interval_sent=0 | interval_received=0
2026-01-29T18:31:50.815246579+05:30 | lo | interval_sent=0 | interval_received=0
2026-01-29T18:31:50.815295118+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:31:50.815344424+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:31:55.816290094+05:30 | enp2s0 | interval_sent=300 | interval_received=262
2026-01-29T18:31:55.816390314+05:30 | lo | interval_sent=0 | interval_received=0
2026-01-29T18:31:55.816427748+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:31:55.816463645+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:32:00.817405457+05:30 | enp2s0 | interval_sent=0 | interval_received=0
2026-01-29T18:32:00.817504769+05:30 | lo | interval_sent=0 | interval_received=0
2026-01-29T18:32:00.817541574+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:32:00.817577053+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:32:05.818514787+05:30 | enp2s0 | interval_sent=0 | interval_received=850
2026-01-29T18:32:05.818611235+05:30 | lo | interval_sent=0 | interval_received=0
2026-01-29T18:32:05.818648041+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:32:05.818683170+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:32:10.819740778+05:30 | enp2s0 | interval_sent=702 | interval_received=238
2026-01-29T18:32:10.819860623+05:30 | lo | interval_sent=0 | interval_received=0
2026-01-29T18:32:10.819904971+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:32:10.819947224+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:32:15.820857558+05:30 | enp2s0 | interval_sent=0 | interval_received=1613
2026-01-29T18:32:15.820956241+05:30 | lo | interval_sent=0 | interval_received=0
2026-01-29T18:32:15.820993256+05:30 | veth5d9a042 | interval_sent=0 | interval_received=0
2026-01-29T18:32:15.821027967+05:30 | docker0 | interval_sent=0 | interval_received=0
2026-01-29T18:32:20.821940611+05:30 | enp2s0 | interval_sent=0 | interval_received=811
2026-01-29T18:32:20.822043973+05:30 | lo | interval_sent=0 | interval_received=0
